country_code,country_name,weighted_exposure,total_employment_k,wb_country_code,wb_name,region,income_group,population_2024
LUX,Luxembourg,0.3715,315.2,LUX,Luxembourg,Europe & Central Asia,High income,677012.0
SGP,Singapore,0.3676,2259.5,SGP,Singapore,East Asia & Pacific,High income,6036860.0
NLD,Netherlands,0.3391,9744.5,NLD,Netherlands,Europe & Central Asia,High income,17993485.0
CHE,Switzerland,0.3349,4757.2,CHE,Switzerland,Europe & Central Asia,High income,9005582.0
SWE,Sweden,0.334,5275.5,SWE,Sweden,Europe & Central Asia,High income,10569709.0
ISR,Israel,0.3333,4024.3,ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,9974400.0
DEU,Germany,0.333,42265.9,DEU,Germany,Europe & Central Asia,High income,83516593.0
IRL,Ireland,0.3307,2726.6,IRL,Ireland,Europe & Central Asia,High income,5395790.0
GBR,United Kingdom of Great Britain and Northern Ireland,0.3294,34055.5,GBR,United Kingdom,Europe & Central Asia,High income,69226000.0
DNK,Denmark,0.3239,2982.9,DNK,Denmark,Europe & Central Asia,High income,5976992.0
BEL,Belgium,0.3231,5043.8,BEL,Belgium,Europe & Central Asia,High income,11858610.0
USA,United States of America,0.3225,163492.9,USA,United States,North America,High income,340110988.0
CYP,Cyprus,0.3219,480.0,CYP,Cyprus,Europe & Central Asia,High income,1358282.0
AUS,Australia,0.3217,14378.6,AUS,Australia,East Asia & Pacific,High income,27196812.0
AUT,Austria,0.3211,4488.4,AUT,Austria,Europe & Central Asia,High income,9177982.0
NOR,Norway,0.3196,2849.6,NOR,Norway,Europe & Central Asia,High income,5572279.0
FRA,France,0.3193,28545.5,FRA,France,Europe & Central Asia,High income,68551653.0
MNE,Montenegro,0.3181,280.6,MNE,Montenegro,Europe & Central Asia,Upper middle income,623525.0
POL,Poland,0.3165,17037.3,POL,Poland,Europe & Central Asia,High income,36559233.0
JPN,Japan,0.3161,66094.6,JPN,Japan,East Asia & Pacific,High income,123975371.0
GRC,Greece,0.3154,17093.2,GRC,Greece,Europe & Central Asia,High income,10405134.0
PRT,Portugal,0.3139,5229.2,PRT,Portugal,Europe & Central Asia,High income,10694681.0
NIU,Niue,0.3137,0.7,,,,,
ITA,Italy,0.313,23697.7,ITA,Italy,Europe & Central Asia,High income,58952704.0
EST,Estonia,0.3115,701.5,EST,Estonia,Europe & Central Asia,High income,1372341.0
HRV,Croatia,0.3107,1660.0,HRV,Croatia,Europe & Central Asia,High income,3866200.0
FIN,Finland,0.3089,2576.8,FIN,Finland,Europe & Central Asia,High income,5619911.0
LTU,Lithuania,0.3088,1458.3,LTU,Lithuania,Europe & Central Asia,High income,2888278.0
HUN,Hungary,0.3086,4691.8,HUN,Hungary,Europe & Central Asia,High income,9562065.0
BRN,Brunei Darussalam,0.3071,216.4,BRN,Brunei Darussalam,East Asia & Pacific,High income,462721.0
TUV,Tuvalu,0.3055,2.9,TUV,Tuvalu,East Asia & Pacific,Upper middle income,9646.0
LVA,Latvia,0.3042,872.3,LVA,Latvia,Europe & Central Asia,High income,1866124.0
SVN,Slovenia,0.3041,984.8,SVN,Slovenia,Europe & Central Asia,High income,2127400.0
CZE,Czechia,0.3016,5187.7,CZE,Czechia,Europe & Central Asia,High income,10905028.0
ESP,Spain,0.3011,21558.1,ESP,Spain,Europe & Central Asia,High income,48848840.0
RUS,Russian Federation,0.2982,73457.4,RUS,Russian Federation,Europe & Central Asia,High income,143533851.0
