country_code,country_name,sex,year,weighted_exposure,n_occupations,total_employment_k,employment_coverage,nec_share,isco_version,n_unreliable_cells,reliability
AFG,Afghanistan,Female,2021,0.1486,14,1682.6,0.92,0.075,ISCO-08,6,medium
AFG,Afghanistan,Male,2021,0.2015,29,5520.6,0.944,0.019,ISCO-08,11,medium
AFG,Afghanistan,Total,2021,0.1893,29,7211.3,0.939,0.033,ISCO-08,10,medium
AGO,Angola,Female,2025,0.2165,33,6771.4,0.98,0.019,ISCO-08,8,high
AGO,Angola,Male,2025,0.195,40,6310.4,0.965,0.014,ISCO-08,5,high
AGO,Angola,Total,2025,0.2062,40,13086.2,0.973,0.017,ISCO-08,2,high
ALB,Albania,Female,2024,0.2378,39,533.8,0.996,0.003,ISCO-08,7,high
ALB,Albania,Male,2024,0.2238,39,632.1,0.988,0.004,ISCO-08,4,high
ALB,Albania,Total,2024,0.2302,40,1166.1,0.992,0.004,ISCO-08,1,high
ARE,United Arab Emirates,Female,2022,0.2954,33,1753.0,0.992,0.005,ISCO-08,3,high
ARE,United Arab Emirates,Male,2022,0.2759,40,5419.4,0.979,0.017,ISCO-08,1,high
ARE,United Arab Emirates,Total,2022,0.2806,40,7173.9,0.982,0.014,ISCO-08,1,high
ARG,Argentina,Female,2024,0.3137,36,5412.1,0.913,0.087,ISCO-08,1,high
ARG,Argentina,Male,2024,0.2777,38,6751.8,0.911,0.089,ISCO-08,0,high
ARG,Argentina,Total,2024,0.2937,38,12165.0,0.912,0.088,ISCO-08,0,high
AUS,Australia,Female,2024,0.3496,38,6884.3,0.998,0.002,ISCO-08,0,high
AUS,Australia,Male,2024,0.2962,38,7494.3,0.996,0.003,ISCO-08,0,high
AUS,Australia,Total,2024,0.3217,38,14378.6,0.997,0.003,ISCO-08,0,high
AUT,Austria,Female,2025,0.3457,37,2136.8,0.999,0.0,ISCO-08,0,high
AUT,Austria,Male,2025,0.2987,38,2351.5,0.995,0.0,ISCO-08,0,high
AUT,Austria,Total,2025,0.3211,38,4488.4,0.997,0.0,ISCO-08,0,high
BDI,Burundi,Female,2020,0.1395,31,2745.0,0.999,0.0,ISCO-08,14,medium
BDI,Burundi,Male,2020,0.1493,36,2200.2,0.998,0.0,ISCO-08,9,high
BDI,Burundi,Total,2020,0.144,38,4951.0,0.999,0.0,ISCO-08,4,high
BEL,Belgium,Female,2024,0.3376,36,2381.0,0.999,0.0,ISCO-08,5,high
BEL,Belgium,Male,2024,0.3101,38,2662.3,0.993,0.0,ISCO-08,1,high
BEL,Belgium,Total,2024,0.3231,38,5043.8,0.996,0.0,ISCO-08,1,high
BEN,Benin,Female,2022,0.251,27,2826.1,0.996,0.0,ISCO-08,5,high
BEN,Benin,Male,2022,0.2008,40,2598.7,0.997,0.0,ISCO-08,8,high
BEN,Benin,Total,2022,0.2272,40,5435.2,0.998,0.0,ISCO-08,4,high
BFA,Burkina Faso,Female,2024,0.2034,28,3877.1,0.996,0.0,ISCO-08,8,high
BFA,Burkina Faso,Male,2024,0.1917,36,3963.9,0.995,0.0,ISCO-08,10,high
BFA,Burkina Faso,Total,2024,0.1977,38,7857.2,0.997,0.0,ISCO-08,8,high
BGD,Bangladesh,Female,2024,0.1923,38,22572.8,0.987,0.012,ISCO-08,2,high
BGD,Bangladesh,Male,2024,0.2308,40,45251.6,0.979,0.018,ISCO-08,0,high
BGD,Bangladesh,Total,2024,0.218,40,67828.9,0.982,0.016,ISCO-08,0,high
BGR,Bulgaria,Female,2024,0.3278,38,1372.9,0.996,0.0,ISCO-08,4,high
BGR,Bulgaria,Male,2024,0.2608,39,1536.3,0.989,0.0,ISCO-08,3,high
BGR,Bulgaria,Total,2024,0.2924,39,2909.6,0.992,0.0,ISCO-08,0,high
BHS,Bahamas,Female,2019,0.3315,30,99.7,0.981,0.014,ISCO-08,7,high
BHS,Bahamas,Male,2019,0.2364,35,107.4,0.98,0.013,ISCO-08,8,high
BHS,Bahamas,Total,2019,0.2824,37,208.0,0.984,0.013,ISCO-08,3,high
BIH,Bosnia and Herzegovina,Female,2024,0.2895,39,544.9,0.999,0.0,ISCO-08,4,high
BIH,Bosnia and Herzegovina,Male,2024,0.2446,39,801.0,0.99,0.0,ISCO-08,2,high
BIH,Bosnia and Herzegovina,Total,2024,0.2628,39,1345.8,0.994,0.0,ISCO-08,0,high
BLR,Belarus,Female,2024,0.3191,38,2424.2,1.0,0.0,ISCO-08,1,high
BLR,Belarus,Male,2024,0.2444,37,2371.9,0.999,0.0,ISCO-08,1,high
BLR,Belarus,Total,2024,0.2821,38,4796.7,1.0,0.0,ISCO-08,0,high
BLZ,Belize,Female,2016,0.2833,32,52.9,0.989,0.0,ISCO-08,6,high
BLZ,Belize,Male,2016,0.2179,39,90.1,0.983,0.009,ISCO-08,7,high
BLZ,Belize,Total,2016,0.2425,39,143.3,0.988,0.007,ISCO-08,2,high
BOL,Bolivia (Plurinational State of),Female,2024,0.2571,38,3257.3,1.0,0.0,ISCO-08,2,high
BOL,Bolivia (Plurinational State of),Male,2024,0.2268,38,3559.5,0.999,0.0,ISCO-08,0,high
BOL,Bolivia (Plurinational State of),Total,2024,0.2413,38,6816.8,0.999,0.0,ISCO-08,0,high
BRA,Brazil,Female,2025,0.3045,39,44298.9,0.997,0.001,ISCO-08,0,high
BRA,Brazil,Male,2025,0.2579,39,57018.2,0.983,0.004,ISCO-08,0,high
BRA,Brazil,Total,2025,0.2783,39,101317.1,0.989,0.003,ISCO-08,0,high
BRB,Barbados,Female,2023,0.3271,35,54.6,0.909,0.088,ISCO-08,6,high
BRB,Barbados,Male,2023,0.2488,38,58.4,0.916,0.084,ISCO-08,6,high
BRB,Barbados,Total,2023,0.2864,38,113.2,0.914,0.086,ISCO-08,1,high
BRN,Brunei Darussalam,Female,2024,0.3507,33,87.8,0.986,0.0,ISCO-08,6,high
BRN,Brunei Darussalam,Male,2024,0.2776,39,128.2,0.957,0.001,ISCO-08,4,high
BRN,Brunei Darussalam,Total,2024,0.3071,39,216.4,0.97,0.001,ISCO-08,4,high
BTN,Bhutan,Female,2024,0.2492,39,144.3,0.99,0.009,ISCO-08,5,high
BTN,Bhutan,Male,2024,0.2376,38,220.9,0.979,0.006,ISCO-08,1,high
BTN,Bhutan,Total,2024,0.2422,39,365.2,0.983,0.007,ISCO-08,1,high
BWA,Botswana,Female,2024,0.2544,34,414.1,0.992,0.003,ISCO-08,12,medium
BWA,Botswana,Male,2024,0.2023,35,439.8,0.99,0.0,ISCO-08,8,high
BWA,Botswana,Total,2024,0.2282,38,857.5,0.995,0.002,ISCO-08,2,high
CHE,Switzerland,Female,2024,0.347,38,2235.3,0.975,0.025,ISCO-08,0,high
CHE,Switzerland,Male,2024,0.3241,38,2521.9,0.977,0.022,ISCO-08,0,high
CHE,Switzerland,Total,2024,0.3349,38,4757.2,0.976,0.023,ISCO-08,0,high
CHL,Chile,Female,2022,0.3004,40,3785.9,0.981,0.018,ISCO-08,1,high
CHL,Chile,Male,2022,0.263,40,5307.3,0.995,0.001,ISCO-08,0,high
CHL,Chile,Total,2022,0.2786,40,9093.2,0.989,0.008,ISCO-08,0,high
CIV,Côte d'Ivoire,Female,2019,0.2671,20,3525.9,0.909,0.081,ISCO-08,7,medium
CIV,Côte d'Ivoire,Male,2019,0.2203,35,5053.3,0.96,0.036,ISCO-08,9,high
CIV,Côte d'Ivoire,Total,2019,0.2397,35,8615.1,0.942,0.056,ISCO-08,3,high
COD,"Congo, Democratic Republic of the",Female,2020,0.1937,31,14911.0,0.981,0.017,ISCO-08,8,high
COD,"Congo, Democratic Republic of the",Male,2020,0.2,35,15631.8,0.984,0.014,ISCO-08,2,high
COD,"Congo, Democratic Republic of the",Total,2020,0.1969,37,30581.6,0.984,0.016,ISCO-08,3,high
COK,Cook Islands,Female,2023,0.3385,25,4.0,0.949,0.0,ISCO-08,14,medium
COK,Cook Islands,Male,2023,0.2436,25,4.0,0.923,0.0,ISCO-08,14,medium
COK,Cook Islands,Total,2023,0.29,33,8.4,0.981,0.0,ISCO-08,7,high
COL,Colombia,Female,2025,0.2925,39,9890.4,1.0,0.0,ISCO-08,0,high
COL,Colombia,Male,2025,0.2417,39,13917.1,0.999,0.0,ISCO-08,0,high
COL,Colombia,Total,2025,0.2628,39,23807.4,0.999,0.0,ISCO-08,0,high
CPV,Cabo Verde,Female,2009,0.2413,29,59.3,0.906,0.078,ISCO-08,6,high
CPV,Cabo Verde,Male,2009,0.2007,37,71.8,0.927,0.063,ISCO-08,10,high
CPV,Cabo Verde,Total,2009,0.2201,40,132.2,0.925,0.07,ISCO-08,5,high
CRI,Costa Rica,Female,2025,0.3025,38,851.0,0.978,0.022,ISCO-08,4,high
CRI,Costa Rica,Male,2025,0.2559,39,1335.3,0.982,0.018,ISCO-08,2,high
CRI,Costa Rica,Total,2025,0.274,39,2186.5,0.98,0.02,ISCO-08,0,high
CUB,Cuba,Female,2012,0.3086,39,1737.2,0.949,0.051,ISCO-08,0,high
CUB,Cuba,Male,2012,0.2377,39,2848.0,0.945,0.055,ISCO-08,0,high
CUB,Cuba,Total,2012,0.2645,39,4585.2,0.947,0.053,ISCO-08,0,high
CYP,Cyprus,Female,2024,0.3486,34,233.1,0.994,0.0,ISCO-08,1,high
CYP,Cyprus,Male,2024,0.2968,37,246.8,0.978,0.0,ISCO-08,1,high
CYP,Cyprus,Total,2024,0.3219,37,480.0,0.986,0.0,ISCO-08,1,high
CZE,Czechia,Female,2024,0.3352,37,2344.2,0.999,0.0,ISCO-08,3,high
CZE,Czechia,Male,2024,0.2741,39,2841.7,0.999,0.0,ISCO-08,2,high
CZE,Czechia,Total,2024,0.3016,39,5187.7,0.999,0.0,ISCO-08,0,high
DEU,Germany,Female,2024,0.3562,38,19840.8,0.99,0.009,ISCO-08,1,high
DEU,Germany,Male,2024,0.3125,38,22423.2,0.984,0.009,ISCO-08,0,high
DEU,Germany,Total,2024,0.333,39,42265.9,0.987,0.009,ISCO-08,1,high
DNK,Denmark,Female,2024,0.3399,38,1401.6,0.968,0.031,ISCO-08,1,high
DNK,Denmark,Male,2024,0.3097,38,1581.3,0.97,0.023,ISCO-08,0,high
DNK,Denmark,Total,2024,0.3239,38,2982.9,0.969,0.027,ISCO-08,0,high
DOM,Dominican Republic,Female,2025,0.3015,39,2172.9,0.996,0.0,ISCO-08,5,high
DOM,Dominican Republic,Male,2025,0.2361,39,2925.4,0.989,0.0,ISCO-08,1,high
DOM,Dominican Republic,Total,2025,0.264,39,5098.3,0.992,0.0,ISCO-08,0,high
ECU,Ecuador,Female,2025,0.2387,39,3411.5,0.999,0.0,ISCO-08,0,high
ECU,Ecuador,Male,2025,0.2106,40,4884.3,0.994,0.0,ISCO-08,0,high
ECU,Ecuador,Total,2025,0.2222,40,8295.9,0.996,0.0,ISCO-08,0,high
EGY,Egypt,Female,2024,0.3041,36,4935.5,0.665,0.335,ISCO-08,4,low
EGY,Egypt,Male,2024,0.2444,40,24988.4,0.989,0.011,ISCO-08,0,high
EGY,Egypt,Total,2024,0.2543,40,29927.6,0.916,0.084,ISCO-08,0,high
ESP,Spain,Female,2024,0.324,38,10038.8,0.999,0.0,ISCO-08,2,high
ESP,Spain,Male,2024,0.2811,39,11519.0,0.993,0.0,ISCO-08,1,high
ESP,Spain,Total,2024,0.3011,39,21558.1,0.996,0.0,ISCO-08,1,high
EST,Estonia,Female,2024,0.3374,37,353.5,1.0,0.0,ISCO-08,3,high
EST,Estonia,Male,2024,0.2852,38,347.9,0.993,0.0,ISCO-08,2,high
EST,Estonia,Total,2024,0.3115,38,701.5,0.997,0.0,ISCO-08,0,high
ETH,Ethiopia,Female,2021,0.1874,40,15434.2,0.988,0.012,ISCO-08,1,high
ETH,Ethiopia,Male,2021,0.1689,40,21057.4,0.983,0.014,ISCO-08,0,high
ETH,Ethiopia,Total,2021,0.1767,40,36491.5,0.985,0.013,ISCO-08,0,high
FIN,Finland,Female,2024,0.3209,38,1257.4,0.987,0.012,ISCO-08,7,high
FIN,Finland,Male,2024,0.2976,39,1318.9,0.979,0.015,ISCO-08,3,high
FIN,Finland,Total,2024,0.3089,39,2576.8,0.983,0.013,ISCO-08,1,high
