country_code,country_name,remittance_pct_gdp,remittance_year
LUX,Luxembourg,2.6796,2024.0
SGP,Singapore,,
NLD,Netherlands,0.3885,2024.0
CHE,Switzerland,0.3882,2024.0
SWE,Sweden,0.7332,2024.0
ISR,Israel,0.1762,2024.0
DEU,Germany,0.453,2024.0
IRL,Ireland,0.1078,2024.0
GBR,United Kingdom of Great Britain and Northern Ireland,0.1312,2024.0
DNK,Denmark,0.3579,2024.0
BEL,Belgium,2.3059,2024.0
USA,United States of America,0.0303,2024.0
CYP,Cyprus,1.799,2024.0
AUS,Australia,0.1005,2024.0
AUT,Austria,0.6512,2024.0
NOR,Norway,0.1958,2024.0
FRA,France,1.2269,2024.0
MNE,Montenegro,10.3409,2024.0
POL,Poland,0.9469,2024.0
JPN,Japan,0.1153,2024.0
PRT,Portugal,0.5879,2024.0
NIU,Niue,,
ITA,Italy,0.4684,2024.0
EST,Estonia,1.1506,2024.0
GRC,Greece,0.2191,2024.0
HRV,Croatia,7.2105,2024.0
FIN,Finland,0.2507,2024.0
LTU,Lithuania,1.2386,2024.0
HUN,Hungary,2.4615,2024.0
BRN,Brunei Darussalam,,
TUV,Tuvalu,4.1631,2023.0
LVA,Latvia,3.0629,2024.0
SVN,Slovenia,1.2432,2024.0
CZE,Czechia,1.2241,2024.0
ESP,Spain,0.3667,2024.0
RUS,Russian Federation,0.0878,2024.0
PLW,Palau,0.8015,2023.0
ARG,Argentina,0.1636,2024.0
BGR,Bulgaria,2.3318,2024.0
WLF,Wallis and Futuna,,
MSR,Montserrat,,
COK,Cook Islands,,
MUS,Mauritius,1.9205,2024.0
KOS,Kosovo,17.2964,2024.0
BRB,Barbados,1.136,2024.0
MKD,North Macedonia,2.703,2024.0
SRB,Serbia,6.3966,2024.0
BHS,Bahamas,0.4164,2024.0
BLR,Belarus,1.8132,2024.0
URY,Uruguay,0.1681,2024.0
ARE,United Arab Emirates,0.3254,2024.0
MDV,Maldives,0.08,2024.0
CHL,Chile,0.0303,2024.0
BRA,Brazil,0.2243,2024.0
CRI,Costa Rica,0.7601,2024.0
TKL,Tokelau,,
ROU,Romania,2.4901,2024.0
SUR,Suriname,3.6295,2024.0
MHL,Marshall Islands,11.8749,2024.0
TUR,Türkiye,0.0723,2024.0
LBN,Lebanon,33.3498,2023.0
DOM,Dominican Republic,9.0496,2024.0
MEX,Mexico,3.6436,2024.0
MNG,Mongolia,2.2177,2024.0
BIH,Bosnia and Herzegovina,10.5503,2024.0
COL,Colombia,2.8349,2024.0
TON,Tonga,42.6104,2023.0
SOM,Somalia,17.6994,2024.0
FJI,Fiji,7.1077,2024.0
JOR,Jordan,8.3054,2024.0
EGY,Egypt,7.5976,2024.0
IRN,Iran (Islamic Republic of),,
PHL,Philippines,8.7257,2024.0
SLV,El Salvador,24.0023,2024.0
THA,Thailand,1.796,2024.0
GUY,Guyana,2.4328,2024.0
SWZ,Eswatini,0.6863,2024.0
IRQ,Iraq,0.249,2024.0
BLZ,Belize,4.8117,2024.0
BTN,Bhutan,3.5825,2023.0
IDN,Indonesia,1.1486,2024.0
PER,Peru,1.7059,2024.0
BOL,Bolivia (Plurinational State of),2.3412,2024.0
NER,Niger,3.2722,2024.0
KGZ,Kyrgyzstan,17.7363,2024.0
CIV,Côte d'Ivoire,2.0327,2024.0
WSM,Samoa,24.0063,2024.0
GEO,Georgia,11.8705,2024.0
PNG,Papua New Guinea,0.0122,2024.0
TUN,Tunisia,6.3449,2024.0
ALB,Albania,8.4094,2024.0
LKA,Sri Lanka,6.792,2024.0
TGO,Togo,8.688,2020.0
GMB,Gambia,21.999,2024.0
GTM,Guatemala,19.1207,2024.0
NPL,Nepal,26.2255,2024.0
PAN,Panama,0.6144,2024.0
HND,Honduras,25.6991,2024.0
STP,Sao Tome and Principe,9.7476,2024.0
MMR,Myanmar,1.5526,2024.0
BWA,Botswana,0.6613,2024.0
KIR,Kiribati,4.7613,2024.0
BEN,Benin,1.0969,2024.0
GIN,Guinea,2.4648,2024.0
VNM,Viet Nam,3.3586,2024.0
MWI,Malawi,1.6504,2024.0
ECU,Ecuador,5.2491,2024.0
TJK,Tajikistan,47.8852,2024.0
KHM,Cambodia,6.1009,2024.0
SLE,Sierra Leone,4.6022,2024.0
GHA,Ghana,3.6782,2024.0
VUT,Vanuatu,18.751,2022.0
BGD,Bangladesh,6.1149,2024.0
IND,India,3.5212,2024.0
SDN,Sudan,1.8119,2024.0
AGO,Angola,0.0505,2024.0
TLS,Timor-Leste,11.7692,2024.0
LAO,Lao People's Democratic Republic,1.4942,2024.0
MLI,Mali,3.9893,2024.0
KEN,Kenya,4.1548,2024.0
BFA,Burkina Faso,2.5514,2024.0
COD,"Congo, Democratic Republic of the",2.8194,2024.0
ZWE,Zimbabwe,8.4496,2024.0
AFG,Afghanistan,1.8656,2023.0
ZMB,Zambia,1.3212,2024.0
RWA,Rwanda,3.628,2024.0
UGA,Uganda,2.6514,2024.0
GNB,Guinea-Bissau,9.7899,2024.0
ETH,Ethiopia,4.7667,2024.0
LSO,Lesotho,20.9449,2024.0
TZA,"Tanzania, United Republic of",1.4247,2024.0
MDG,Madagascar,2.3321,2024.0
MOZ,Mozambique,1.1735,2024.0
BDI,Burundi,7.685,2024.0
