country_code,country_name,domestic_exposure,remit_weighted_exposure,remit_weighted_exposure_raw,remittance_pct_gdp,n_sources_with_exposure,source_share_covered,total_inflow_m
AFG,Afghanistan,0.1893,0.26799999999999996,0.26799999999999996,1.8656,20,0.8724832214765101,298.0
AGO,Angola,0.2062,0.2062,0.26499000000000006,0.0505,5,0.7692307692307692,13.0
ALB,Albania,0.2302,0.3155716646989373,0.3155716646989373,8.4094,26,0.9871794871794873,1716.0
ARG,Argentina,0.2937,0.2937,0.30149806529625156,0.1636,31,0.9077936333699231,911.0
AUS,Australia,0.3217,0.3217,0.3178669117647059,0.1005,47,0.74235807860262,916.0
AUT,Austria,0.3211,0.3211,0.32226966905493,0.6512,48,0.9260663507109006,3165.0
BDI,Burundi,0.144,0.20856744186046514,0.20856744186046514,7.685,14,0.9148936170212766,47.0
BEL,Belgium,0.3231,0.3192980694463065,0.3192980694463065,2.3059,56,0.9391249606547056,15885.0
BEN,Benin,0.2272,0.25795633802816903,0.25795633802816903,1.0969,9,0.35148514851485146,202.0
BFA,Burkina Faso,0.1977,0.2416084837545127,0.2416084837545127,2.5514,12,0.9928315412186378,558.0
BGD,Bangladesh,0.218,0.26332691032462024,0.26332691032462024,6.1149,44,0.5841628755461468,22201.0
BGR,Bulgaria,0.2924,0.3096929961089494,0.3096929961089494,2.3318,30,0.9809160305343512,786.0
BIH,Bosnia and Herzegovina,0.2628,0.3133511005610703,0.3133511005610703,10.5503,28,0.9755789473684211,2375.0
BLR,Belarus,0.2821,0.3039775862068966,0.3039775862068966,1.8132,28,0.7658450704225352,1136.0
BLZ,Belize,0.2425,0.31704076923076924,0.31704076923076924,4.8117,7,0.9558823529411764,136.0
BOL,Bolivia (Plurinational State of),0.2413,0.29520321199143473,0.29520321199143473,2.3412,23,0.9922096317280453,1412.0
BRA,Brazil,0.2783,0.2783,0.31555904710920774,0.2243,44,0.912109375,4096.0
BTN,Bhutan,0.2422,0.258276,0.258276,3.5825,4,0.9090909090909091,55.0
BWA,Botswana,0.2282,0.2282,0.27236,0.6613,4,0.17543859649122806,57.0
