country_code,country_name,male_exposure,female_exposure,total_exposure,male_reliability,female_reliability,gender_gap,relative_gender_gap,reliable
PLW,Palau,0.2521,0.3587,0.2949,high,high,0.10660000000000003,0.3614784672770432,True
TUV,Tuvalu,0.268,0.3676,0.3055,high,medium,0.09959999999999997,0.3260229132569557,True
BHS,Bahamas,0.2364,0.3315,0.2824,high,high,0.09510000000000002,0.33675637393767716,True
COK,Cook Islands,0.2436,0.3385,0.29,medium,medium,0.09490000000000001,0.3272413793103449,True
JAM,Jamaica,0.2276,0.3173,0.2662,high,high,0.08970000000000003,0.33696468820435777,True
PSE,Palestine (State of),0.2355,0.3247,0.2534,high,high,0.0892,0.35201262825572216,True
GRD,Grenada,0.2146,0.3033,0.2529,low,low,0.0887,0.35073151443258205,False
WLF,Wallis and Futuna,0.2486,0.3317,0.2907,low,medium,0.08310000000000001,0.28586171310629516,False
WSM,Samoa,0.2101,0.2916,0.2394,high,high,0.08150000000000002,0.34043441938178787,True
IRQ,Iraq,0.2331,0.3129,0.2428,high,medium,0.07980000000000001,0.32866556836902805,True
GUY,Guyana,0.2151,0.294,0.247,high,high,0.07889999999999997,0.31943319838056666,True
BRB,Barbados,0.2488,0.3271,0.2864,high,high,0.07830000000000001,0.2733938547486034,True
ROU,Romania,0.2385,0.3159,0.2717,high,high,0.07740000000000002,0.2848730217151271,True
SUR,Suriname,0.2395,0.3153,0.2703,high,medium,0.07580000000000003,0.2804291527931929,True
PHL,Philippines,0.2214,0.2964,0.2523,high,high,0.07499999999999998,0.2972651605231866,True
BLR,Belarus,0.2444,0.3191,0.2821,high,high,0.07469999999999999,0.26479971641261957,True
KIR,Kiribati,0.1947,0.2679,0.2273,high,high,0.07320000000000002,0.32204135503739556,True
BRN,Brunei Darussalam,0.2776,0.3507,0.3071,high,high,0.0731,0.23803321393682841,True
TON,Tonga,0.2267,0.2988,0.259,high,medium,0.0721,0.27837837837837837,True
MSR,Montserrat,0.2559,0.3276,0.2904,medium,medium,0.07169999999999999,0.24690082644628095,True
HND,Honduras,0.203,0.2745,0.2314,high,high,0.07150000000000001,0.30898876404494385,True
NRU,Nauru,0.2131,0.2845,0.2454,low,low,0.07139999999999996,0.2909535452322737,False
CUB,Cuba,0.2377,0.3086,0.2645,high,high,0.07089999999999999,0.2680529300567107,True
RUS,Russian Federation,0.2636,0.3343,0.2982,high,high,0.07069999999999999,0.2370892018779342,True
FSM,Micronesia (Federated States of),0.1955,0.2648,0.2188,high,low,0.06929999999999997,0.31672760511882986,False
HUN,Hungary,0.2761,0.345,0.3086,high,high,0.06889999999999996,0.22326636422553456,True
SYC,Seychelles,0.2491,0.3177,0.2853,low,low,0.0686,0.24044865054328776,False
MNE,Montenegro,0.2883,0.3558,0.3181,high,high,0.0675,0.21219742219427853,True
BGR,Bulgaria,0.2608,0.3278,0.2924,high,high,0.067,0.22913816689466487,True
BLZ,Belize,0.2179,0.2833,0.2425,high,high,0.06539999999999999,0.2696907216494845,True
DOM,Dominican Republic,0.2361,0.3015,0.264,high,high,0.06539999999999999,0.24772727272727266,True
KOS,Kosovo,0.2702,0.335,0.2879,high,high,0.06480000000000002,0.22507815213615848,True
MUS,Mauritius,0.2625,0.3265,0.2894,high,high,0.064,0.22114720110573602,True
PAN,Panama,0.2052,0.2691,0.2318,high,high,0.06390000000000001,0.2756686798964625,True
POL,Poland,0.2875,0.35,0.3165,high,high,0.0625,0.19747235387045814,True
HRV,Croatia,0.2813,0.3433,0.3107,high,high,0.062,0.19954940457032508,True
CZE,Czechia,0.2741,0.3352,0.3016,high,high,0.06109999999999999,0.20258620689655168,True
EGY,Egypt,0.2444,0.3041,0.2543,high,low,0.059699999999999975,0.23476209201730228,False
GRC,Greece,0.2897,0.3481,0.3154,high,high,0.05840000000000001,0.18516169942929614,True
MHL,Marshall Islands,0.2478,0.3045,0.2682,high,high,0.0567,0.21140939597315436,True
NIU,Niue,0.2907,0.3471,0.3137,medium,medium,0.056400000000000006,0.17978960790564236,True
ITA,Italy,0.2889,0.3451,0.313,high,high,0.05620000000000003,0.17955271565495218,True
IRN,Iran (Islamic Republic of),0.2447,0.3001,0.2538,high,high,0.05539999999999998,0.21828211189913307,True
SLV,El Salvador,0.2276,0.2828,0.2511,high,high,0.0552,0.21983273596176822,True
NER,Niger,0.2248,0.2792,0.2412,high,high,0.054400000000000004,0.22553897180762855,True
MEX,Mexico,0.2417,0.2957,0.2638,high,high,0.05400000000000002,0.2047005307050797,True
AUS,Australia,0.2962,0.3496,0.3217,high,high,0.0534,0.1659931613304321,True
EST,Estonia,0.2852,0.3374,0.3115,high,high,0.05219999999999997,0.16757624398073825,True
BWA,Botswana,0.2023,0.2544,0.2282,high,medium,0.05210000000000001,0.22830850131463634,True
LTU,Lithuania,0.2832,0.3353,0.3088,high,high,0.05209999999999998,0.16871761658031081,True
CYP,Cyprus,0.2968,0.3486,0.3219,high,high,0.05180000000000001,0.16091954022988508,True
THA,Thailand,0.2262,0.2777,0.25,high,high,0.05149999999999999,0.20599999999999996,True
COL,Colombia,0.2417,0.2925,0.2628,high,high,0.050799999999999984,0.19330289193302888,True
URY,Uruguay,0.2578,0.3085,0.2807,high,high,0.05070000000000002,0.18061987887424305,True
LVA,Latvia,0.2787,0.329,0.3042,high,high,0.05030000000000001,0.16535174227481922,True
BEN,Benin,0.2008,0.251,0.2272,high,high,0.050199999999999995,0.22095070422535207,True
SVN,Slovenia,0.2817,0.3307,0.3041,high,high,0.04899999999999999,0.16113120683985527,True
NGA,Nigeria,0.2101,0.2588,0.234,low,low,0.048699999999999966,0.20811965811965796,False
GTM,Guatemala,0.2129,0.2611,0.2337,high,high,0.04819999999999999,0.20624732563115103,True
AUT,Austria,0.2987,0.3457,0.3211,high,high,0.046999999999999986,0.14637184677670503,True
CIV,Côte d'Ivoire,0.2203,0.2671,0.2397,high,medium,0.04680000000000001,0.19524405506883608,True
MNG,Mongolia,0.2416,0.2882,0.263,high,high,0.0466,0.17718631178707225,True
CRI,Costa Rica,0.2559,0.3025,0.274,high,high,0.046599999999999975,0.1700729927007298,True
BRA,Brazil,0.2579,0.3045,0.2783,high,high,0.046599999999999975,0.16744520301832547,True
TGO,Togo,0.2104,0.2567,0.2353,high,high,0.04629999999999998,0.19677008074798122,True
SGP,Singapore,0.3455,0.3916,0.3676,high,high,0.04610000000000003,0.1254080522306856,True
SRB,Serbia,0.2635,0.3094,0.2847,high,high,0.045899999999999996,0.16122233930453106,True
FJI,Fiji,0.2435,0.2886,0.2585,high,high,0.04510000000000003,0.1744680851063831,True
JPN,Japan,0.2958,0.3407,0.3161,high,high,0.044899999999999995,0.14204365707054728,True
BIH,Bosnia and Herzegovina,0.2446,0.2895,0.2628,high,high,0.04489999999999997,0.17085235920852349,True
KGZ,Kyrgyzstan,0.2229,0.2668,0.2401,high,high,0.043899999999999995,0.1828404831320283,True
DEU,Germany,0.3125,0.3562,0.333,high,high,0.04370000000000002,0.13123123123123126,True
ESP,Spain,0.2811,0.324,0.3011,high,high,0.042899999999999994,0.1424775821986051,True
USA,United States of America,0.3024,0.345,0.3225,high,high,0.04259999999999997,0.13209302325581387,True
MMR,Myanmar,0.212,0.2542,0.2293,high,high,0.04219999999999999,0.18403837767117306,True
IRL,Ireland,0.3115,0.3523,0.3307,high,high,0.0408,0.12337465981251891,True
CPV,Cabo Verde,0.2007,0.2413,0.2201,high,high,0.0406,0.18446160835983644,True
FRA,France,0.3008,0.3385,0.3193,high,high,0.03770000000000001,0.1180707798308801,True
CHL,Chile,0.263,0.3004,0.2786,high,high,0.03739999999999999,0.13424264178033019,True
LBN,Lebanon,0.2523,0.289,0.2639,high,high,0.036699999999999955,0.13906782872300094,True
ARG,Argentina,0.2777,0.3137,0.2937,high,high,0.035999999999999976,0.12257405515832473,True
MKD,North Macedonia,0.2711,0.3066,0.2862,high,high,0.035499999999999976,0.12403913347309566,True
IDN,Indonesia,0.2281,0.2633,0.2419,high,high,0.03519999999999998,0.14551467548573782,True
ISR,Israel,0.3166,0.3506,0.3333,high,high,0.03400000000000003,0.10201020102010211,True
SWZ,Eswatini,0.226,0.2596,0.2438,medium,medium,0.03359999999999999,0.13781788351107463,True
PRT,Portugal,0.2975,0.3308,0.3139,high,high,0.033299999999999996,0.10608474036317297,True
GIN,Guinea,0.2123,0.2434,0.2271,high,medium,0.031100000000000017,0.13694407749889922,True
VNM,Viet Nam,0.2108,0.2413,0.2253,high,high,0.0305,0.1353750554815801,True
BOL,Bolivia (Plurinational State of),0.2268,0.2571,0.2413,high,high,0.030299999999999994,0.12556983008702857,True
DNK,Denmark,0.3097,0.3399,0.3239,high,high,0.030200000000000005,0.09323865390552641,True
GMB,Gambia,0.2186,0.2477,0.2337,high,medium,0.029100000000000015,0.12451861360718877,True
ECU,Ecuador,0.2106,0.2387,0.2222,high,high,0.028099999999999986,0.1264626462646264,True
BEL,Belgium,0.3101,0.3376,0.3231,high,high,0.027500000000000024,0.08511296812132474,True
TKL,Tokelau,0.2568,0.2842,0.2727,medium,medium,0.027400000000000035,0.10047671433810061,True
TUN,Tunisia,0.2272,0.2539,0.2364,high,high,0.0267,0.11294416243654823,True
SLE,Sierra Leone,0.1911,0.2169,0.2047,high,medium,0.025800000000000017,0.12603810454323408,True
KHM,Cambodia,0.2082,0.234,0.2208,high,high,0.025800000000000017,0.1168478260869566,True
MLI,Mali,0.1906,0.216,0.2001,high,medium,0.025400000000000006,0.12693653173413297,True
LKA,Sri Lanka,0.2291,0.2543,0.2373,high,high,0.025200000000000028,0.10619469026548684,True
VUT,Vanuatu,0.207,0.2322,0.2182,high,high,0.0252,0.1154903758020165,True
PER,Peru,0.2324,0.2563,0.2432,high,high,0.023899999999999977,0.09827302631578938,True
JOR,Jordan,0.2507,0.2742,0.2547,high,high,0.02350000000000002,0.09226541028661178,True
FIN,Finland,0.2976,0.3209,0.3089,high,high,0.023300000000000043,0.07542894140498557,True
CHE,Switzerland,0.3241,0.347,0.3349,high,high,0.022899999999999976,0.06837862048372642,True
GEO,Georgia,0.226,0.2486,0.237,high,high,0.02259999999999998,0.09535864978902946,True
LBR,Liberia,0.2329,0.2551,0.2445,low,low,0.022199999999999998,0.09079754601226993,False
AGO,Angola,0.195,0.2165,0.2062,high,high,0.02149999999999999,0.1042677012609117,True
SWE,Sweden,0.324,0.3451,0.334,high,high,0.021100000000000008,0.0631736526946108,True
GBR,United Kingdom of Great Britain and Northern Ireland,0.3196,0.3398,0.3294,high,high,0.020199999999999996,0.06132361870066786,True
GHA,Ghana,0.2098,0.2295,0.22,high,high,0.019700000000000023,0.08954545454545465,True
ARE,United Arab Emirates,0.2759,0.2954,0.2806,high,high,0.019500000000000017,0.06949394155381332,True
PNG,Papua New Guinea,0.2268,0.246,0.2364,high,medium,0.019199999999999995,0.0812182741116751,True
ETH,Ethiopia,0.1689,0.1874,0.1767,high,high,0.018500000000000016,0.10469722693831363,True
TUR,Türkiye,0.2593,0.2772,0.2652,high,high,0.017900000000000027,0.06749622926093525,True
LSO,Lesotho,0.1669,0.1843,0.1748,high,high,0.0174,0.09954233409610982,True
LAO,Lao People's Democratic Republic,0.1974,0.2138,0.2054,high,high,0.016399999999999998,0.0798442064264849,True
ZMB,Zambia,0.1801,0.195,0.1872,high,medium,0.014899999999999997,0.07959401709401707,True
ALB,Albania,0.2238,0.2378,0.2302,high,high,0.014000000000000012,0.0608166811468289,True
NOR,Norway,0.3133,0.3269,0.3196,high,high,0.013600000000000001,0.04255319148936171,True
BFA,Burkina Faso,0.1917,0.2034,0.1977,high,high,0.011699999999999988,0.059180576631259425,True
