country_code,country_name,weighted_exposure,wage_weighted_exposure,exposed_wage_bill,wage_data_year,wage_coverage
LUX,Luxembourg,0.3715,0.3978,3767.7,2024.0,1.0
SGP,Singapore,0.3676,0.3883,1942.6,2021.0,0.999
NLD,Netherlands,0.3391,0.3573,2449.0,2024.0,1.0
CHE,Switzerland,0.3349,0.3511,1724.0,2024.0,1.0
SWE,Sweden,0.334,0.3483,1602.6,2024.0,1.0
ISR,Israel,0.3333,0.3538,999.8,2021.0,1.0
DEU,Germany,0.333,0.3486,2155.8,2022.0,1.0
IRL,Ireland,0.3307,0.3536,1948.8,2024.0,1.0
GBR,United Kingdom of Great Britain and Northern Ireland,0.3293,0.3467,1413.2,2025.0,1.0
DNK,Denmark,0.3239,0.3412,1836.2,2024.0,1.0
BEL,Belgium,0.3231,0.3387,2771.7,2024.0,1.0
USA,United States of America,0.3225,0.3418,2175.1,2025.0,1.0
CYP,Cyprus,0.3219,0.3473,1586.4,2024.0,1.0
AUT,Austria,0.3203,0.3336,2227.1,2024.0,1.0
NOR,Norway,0.3196,0.3323,1887.0,2024.0,1.0
FRA,France,0.3193,0.3418,2071.0,2024.0,1.0
MNE,Montenegro,0.3181,0.3387,525.5,2014.0,0.966
POL,Poland,0.3165,0.3313,1018.4,2024.0,1.0
PRT,Portugal,0.3139,0.3314,688.1,2025.0,1.0
ITA,Italy,0.313,0.3319,1834.4,2024.0,1.0
EST,Estonia,0.3115,0.3395,1358.3,2024.0,1.0
GRC,Greece,0.3109,0.321,1134.4,2024.0,1.0
HRV,Croatia,0.3107,0.328,1356.8,2024.0,1.0
FIN,Finland,0.3089,0.3272,1997.6,2024.0,1.0
LTU,Lithuania,0.3088,0.3352,1331.9,2024.0,1.0
HUN,Hungary,0.3086,0.3199,630.2,2024.0,1.0
BRN,Brunei Darussalam,0.3071,0.3515,846.6,2014.0,1.0
LVA,Latvia,0.3042,0.33,1317.7,2024.0,1.0
SVN,Slovenia,0.3041,0.3213,1627.5,2024.0,1.0
CZE,Czechia,0.3016,0.3161,1124.7,2024.0,1.0
ESP,Spain,0.3011,0.3227,1654.3,2024.0,1.0
RUS,Russian Federation,0.2978,0.3109,647.4,2021.0,1.0
PLW,Palau,0.2949,0.322,322.3,2023.0,1.0
ARG,Argentina,0.2937,0.3261,415.3,2024.0,1.0
BGR,Bulgaria,0.2924,0.3193,851.3,2024.0,1.0
MUS,Mauritius,0.2894,0.3215,514.3,2024.0,1.0
BRB,Barbados,0.2864,0.3164,357.9,2016.0,1.0
MKD,North Macedonia,0.2863,0.3126,383.7,2014.0,1.0
SRB,Serbia,0.2832,0.3011,622.2,2024.0,1.0
BHS,Bahamas,0.2824,0.2873,1125.2,2019.0,1.0
URY,Uruguay,0.2807,0.3076,510.0,2024.0,1.0
ARE,United Arab Emirates,0.2806,0.361,1131.1,2009.0,1.0
MDV,Maldives,0.2797,0.2967,333.7,2019.0,1.0
CHL,Chile,0.2786,0.3098,617.6,2024.0,1.0
BRA,Brazil,0.2764,0.3086,387.5,2025.0,1.0
CRI,Costa Rica,0.274,0.3117,555.7,2025.0,1.0
ROU,Romania,0.2717,0.2873,816.3,2024.0,1.0
SUR,Suriname,0.2703,0.2959,257.0,2016.0,1.0
MHL,Marshall Islands,0.2682,0.2887,220.2,2019.0,1.0
TUR,Türkiye,0.2652,0.2908,613.9,2024.0,1.0
LBN,Lebanon,0.2639,0.2991,466.5,2019.0,1.0
DOM,Dominican Republic,0.2636,0.2857,319.6,2024.0,1.0
MEX,Mexico,0.263,0.2866,266.9,2024.0,1.0
MNG,Mongolia,0.263,0.2754,360.0,2024.0,1.0
BIH,Bosnia and Herzegovina,0.2628,0.2723,564.5,2024.0,1.0
COL,Colombia,0.2628,0.2977,321.5,2025.0,1.0
TON,Tonga,0.259,0.2523,225.0,2023.0,1.0
FJI,Fiji,0.2585,0.2837,399.6,2024.0,1.0
JOR,Jordan,0.2547,0.2757,289.2,2023.0,1.0
EGY,Egypt,0.2543,0.255,180.5,2024.0,1.0
PHL,Philippines,0.2523,0.2841,225.7,2023.0,1.0
SLV,El Salvador,0.2511,0.2768,266.8,2024.0,1.0
THA,Thailand,0.25,0.2814,357.0,2024.0,1.0
GUY,Guyana,0.247,0.2561,190.2,2019.0,1.0
SWZ,Eswatini,0.2438,0.289,241.5,2021.0,1.0
BLZ,Belize,0.2425,0.2764,242.8,2020.0,1.0
BTN,Bhutan,0.2422,0.2741,305.5,2024.0,1.0
IDN,Indonesia,0.2419,0.2658,130.2,2023.0,1.0
PER,Peru,0.2414,0.2646,248.4,2025.0,1.0
BOL,Bolivia (Plurinational State of),0.2413,0.2526,312.8,2024.0,1.0
NER,Niger,0.2412,0.292,107.5,2022.0,1.0
CIV,Côte d'Ivoire,0.2397,0.2596,113.5,2022.0,1.0
WSM,Samoa,0.2394,0.2579,226.0,2022.0,1.0
GEO,Georgia,0.237,0.2613,254.3,2021.0,1.0
TUN,Tunisia,0.2364,0.2633,220.3,2019.0,1.0
ALB,Albania,0.2354,0.2613,281.5,2022.0,1.0
LKA,Sri Lanka,0.2353,0.2738,118.2,2023.0,1.0
TGO,Togo,0.2353,0.2662,60.1,2022.0,1.0
GMB,Gambia,0.2337,0.2395,61.3,2018.0,1.0
GTM,Guatemala,0.2337,0.2703,262.0,2024.0,1.0
NPL,Nepal,0.2326,0.2364,130.1,2017.0,1.0
PAN,Panama,0.2318,0.2735,428.2,2024.0,1.0
